month,n_trades,pf,sharpe
2022-01,0,0.0,0.0
2022-02,5,0.0,-10.281090859646481
2022-03,7,0.05418712604843852,-7.497876838037983
2022-04,0,0.0,0.0
2022-05,0,0.0,0.0
2022-06,0,0.0,0.0
2022-07,3,2.3036139227228274,3.046520420462407
2022-08,2,0.0,0.0
2022-09,1,inf,0.0
2022-10,6,1.450561264186586,0.0
2022-11,1,0.0,0.0
2022-12,6,0.04952437439552844,-6.367469001508016
2023-01,2,0.0,0.0
2023-02,4,0.0,0.0
2023-03,2,0.8014603867586063,0.0
2023-04,2,0.0,-5.834281956005628
2023-05,7,0.11200027032469775,-6.84364530147498
2023-06,6,0.0,0.0
2023-07,9,0.2588074333335671,-3.9056268815691544
2023-08,0,0.0,0.0
2023-09,0,0.0,0.0
2023-10,5,0.0,-9.07466083282534
2023-11,0,0.0,0.0
2023-12,2,0.0,0.0
2024-01,5,0.07777713781757735,-7.7321444013365275
2024-02,2,0.6281250551323935,0.0
2024-03,0,0.0,0.0
2024-04,1,inf,0.0
2024-05,1,0.0,0.0
2024-06,4,0.0,0.0
2024-07,6,0.5029520478709218,-2.8408883801006874
2024-08,2,0.17351763029153247,-5.372625042076395
2024-09,7,0.35514243758550684,-7.022997266733704
2024-10,1,inf,0.0
2024-11,0,0.0,0.0
2024-12,1,0.0,0.0
2025-01,6,1.4393567955228346,2.3327976337054195
2025-02,3,0.0547047301564074,-10.210042923189755
2025-03,2,0.0,0.0
2025-04,0,0.0,0.0
2025-05,0,0.0,0.0
2025-06,6,0.0,0.0
2025-07,0,0.0,0.0
2025-08,0,0.0,0.0
2025-09,10,2.019836342711342,4.610959653835637
2025-10,6,0.2938176332288256,-7.877220795445207
2025-11,0,0.0,0.0
2025-12,0,0.0,0.0
2026-01,7,0.0,-6.926806279759858
2026-02,0,0.0,0.0
2026-03,5,0.0,0.0
